Delivery Date,Delivery Hour,Repeated Hour Flag,dam,rtm
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,20.86,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,19.87,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,11,N,-0.28,15.22
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
2022-01-01,12,N,27.21,16.17
